timestamp,frame,subject,segment,x,y,z,qx,qy,qz,qw
1759345429851.9858,279898,LeftRS2,LeftRS2,408.25736345806996,3792.913849684038,1034.5419388423024,-0.16429455052827052,0.0972494228871322,-0.6039456080671961,0.7738213960024484
1759345429851.9858,279898,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429851.9858,279898,LeftRS4,LeftRS4,-2604.7657961525756,1890.0270517130552,1876.2513083424597,-0.1455801759509811,-0.480527367557436,0.8484996838616278,0.16717699568158298
1759345429851.9858,279898,UWB1,UWB1,-1081.944326201934,2776.1308757040647,1737.9060339309433,-0.004606888307819243,-0.04338507161204627,-0.5799003315364909,0.8135183572761003
1759345429855.986,279899,LeftRS2,LeftRS2,408.12570150903787,3792.731203431633,1034.5420532836636,-0.16683779856235562,0.09504486261666044,-0.6026751295933208,0.7745413554037777
1759345429855.986,279899,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429855.986,279899,LeftRS4,LeftRS4,-2604.797312434773,1887.566153349002,1876.1207944041696,-0.14192094348351053,-0.4781292657473276,0.8537129548963834,0.14974993047997487
1759345429855.986,279899,UWB1,UWB1,-1082.6520282869503,2776.114390491546,1738.552057208007,-0.0031872663794057714,-0.04534195932802821,-0.5780718851967326,0.8147188739696766
1759345429862.9854,279900,LeftRS2,LeftRS2,408.1840758475211,3793.020773704619,1034.6392019833277,-0.16407809162753542,0.09729833519100765,-0.6040525253581465,0.7737777202952864
1759345429862.9854,279900,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429862.9854,279900,LeftRS4,LeftRS4,-2604.4313005427653,1884.3808044738055,1876.1561583378834,-0.1410284034862458,-0.4815440787359073,0.8520015971620641,0.14939734963445284
1759345429862.9854,279900,UWB1,UWB1,-1081.8454939080532,2776.0062886547,1737.8396412134157,-0.004950171079964263,-0.04327652546950541,-0.5798638896323768,0.8135480979327387
1759345429873.9539,279901,LeftRS2,LeftRS2,408.24120719416817,3793.2907224809533,1034.5114291725704,-0.16371671113047268,0.09721339478465095,-0.6038120545209763,0.7740525803756632
1759345429873.9539,279901,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429873.9539,279901,LeftRS4,LeftRS4,-2604.0762861779695,1881.1682798799964,1876.1602540408614,-0.14217480526976356,-0.4858620814374182,0.8484402577173541,0.154510490428043
1759345429873.9539,279901,UWB1,UWB1,-1081.8993970823763,2776.021257624642,1737.9658532391866,-0.00534805939986824,-0.04326010837213238,-0.5799303798558693,0.8134990570397204
1759345429883.9534,279902,LeftRS2,LeftRS2,408.1858264866489,3792.9253226303495,1034.555389030954,-0.16468746355655192,0.09680130537924167,-0.603325066072814,0.7742779935348924
1759345429883.9534,279902,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429883.9534,279902,LeftRS4,LeftRS4,-2603.5880391841515,1876.7365419260057,1876.272799412502,-0.15594445452079492,-0.49576066791953227,0.8334262518425211,0.18789191038444852
1759345429883.9534,279902,UWB1,UWB1,-1081.9066146983507,2776.002039038075,1738.0169058638457,-0.00543982220301941,-0.04302170838372656,-0.5802916359130456,0.8132534403440952
1759345429893.9536,279903,LeftRS2,LeftRS2,408.1479590180212,3792.9457620226954,1034.4736025943923,-0.1659653911888216,0.0954515196011415,-0.6024858797041979,0.7748259553541255
1759345429893.9536,279903,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429893.9536,279903,LeftRS4,LeftRS4,-2603.760315974665,1874.4093389657114,1876.0767270894212,-0.14436771662300515,-0.4965270620264132,0.8387629848199686,0.17057401434091687
1759345429893.9536,279903,UWB1,UWB1,-1082.0587681539544,2776.038773001805,1738.1958501231572,-0.0055341689232906695,-0.04294621525387121,-0.5801714257402457,0.8133425553382949
1759345429904.954,279904,LeftRS2,LeftRS2,408.32749015268354,3793.359763631976,1034.5882397933892,-0.1609085115553171,0.09980295091760084,-0.6070615485477003,0.7717668677599859
1759345429904.954,279904,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429904.954,279904,LeftRS4,LeftRS4,-2604.013547668027,1871.6930521493518,1876.08984025322,-0.1386267188902081,-0.493178224988669,0.8459880772189002,0.14785819020341467
1759345429904.954,279904,UWB1,UWB1,-1081.3881612756763,2776.0260531179683,1737.4927215991574,-0.006763127253700553,-0.04130490683913694,-0.58100991574498,0.8128195633637098
1759345429913.953,279905,LeftRS2,LeftRS2,408.30134990045923,3793.144949573028,1034.6527548186336,-0.16231004092272477,0.09902581635416992,-0.6063718815809378,0.7721155869033126
1759345429913.953,279905,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429913.953,279905,LeftRS4,LeftRS4,-2605.0985216514728,1869.9533839540065,1876.070748537469,-0.12811336803561466,-0.4892775456941115,0.8569622457957019,0.09904623915578571
1759345429913.953,279905,UWB1,UWB1,-1084.350480885969,2815.0778341726023,1727.3995285835397,-0.19646194741102946,-0.1903376123419037,-0.561558961236539,0.7809134584589951
1759345429924.953,279906,LeftRS2,LeftRS2,408.21945962088296,3793.1558367933244,1034.490350191064,-0.16551460084206226,0.09596260062192245,-0.6031400360468386,0.7743501747319417
1759345429924.953,279906,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429924.953,279906,LeftRS4,LeftRS4,-2606.6986875037287,1867.0420155144034,1875.031245538234,-0.1317453190279733,-0.4845491542273507,0.8611503799529809,0.07921686158017881
1759345429924.953,279906,UWB1,UWB1,-1084.3011155613406,2815.4675962830293,1727.03437129505,-0.195235105016881,-0.19303626567547721,-0.5734205954778112,0.7718866980230885
1759345429934.9526,279907,LeftRS2,LeftRS2,408.16869423108415,3792.8568135290275,1034.4809545905744,-0.16469132947762674,0.09678859184908178,-0.6042273239064497,0.7735748674353466
1759345429934.9526,279907,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429934.9526,279907,LeftRS4,LeftRS4,-2607.1458888444354,1863.6026608852824,1874.9599411601325,-0.13344542340337293,-0.48899012161367816,0.8582181481156611,0.08088627931769456
1759345429934.9526,279907,UWB1,UWB1,-1085.0868832603837,2815.5663751675766,1726.3584405191916,-0.1954496148767279,-0.20403143974494628,-0.5847255451973316,0.7604384632788024
1759345429944.9539,279908,LeftRS2,LeftRS2,408.19297057220984,3793.005341111993,1034.3392412028988,-0.16741326877143825,0.09489878570342974,-0.6015202475903637,0.775332451049293
1759345429944.9539,279908,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429944.9539,279908,LeftRS4,LeftRS4,-2607.5600921470377,1860.2742765821479,1874.8769009502853,-0.1335217648550738,-0.49146369096617243,0.8566771644560249,0.0820951561998496
1759345429944.9539,279908,UWB1,UWB1,-1085.728977064599,2812.6807552375685,1727.3646751812926,-0.18832963771983996,-0.20033128486482604,-0.5813079106295638,0.7658201074013484
1759345429954.9536,279909,LeftRS2,LeftRS2,408.1955964103361,3792.962597974057,1034.5024739064254,-0.1661174713341151,0.09537573014899008,-0.6027117659112257,0.7746269960750648
1759345429954.9536,279909,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429954.9536,279909,LeftRS4,LeftRS4,-2608.100861733142,1856.647271214614,1874.8159568824733,-0.1342409523205726,-0.4966339069295245,0.8532983861891148,0.08494700309625122
1759345429954.9536,279909,UWB1,UWB1,-1085.5244690929396,2814.0375145389203,1727.2169114331923,-0.19244857440703755,-0.2160221337427416,-0.5789206550943321,0.7623312003631241
1759345429963.985,279910,LeftRS2,LeftRS2,408.1995782335597,3793.0544920141606,1034.5244368742826,-0.16626943115735393,0.09568964878804403,-0.6026632961532704,0.7745933893644498
1759345429963.985,279910,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429963.985,279910,LeftRS4,LeftRS4,-2608.5852982554834,1853.3042140232521,1874.6641411444398,-0.13420318677646192,-0.49758828795243165,0.8526858981885009,0.08556961716683968
1759345429963.985,279910,UWB1,UWB1,-1084.6129821561015,2816.2550963662866,1726.8597823702853,-0.2104326668231208,-0.2178490065003891,-0.5742466592370612,0.7605923201397562
1759345429974.984,279911,LeftRS2,LeftRS2,408.17137650719656,3792.9487206954304,1034.5874235561892,-0.16600517790620664,0.09591466260744254,-0.6029503059502643,0.77439885521591
1759345429974.984,279911,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429974.984,279911,LeftRS4,LeftRS4,-2609.486685468673,1849.4302032571245,1874.6336396374127,-0.13384991691951556,-0.5035020031634984,0.849057460635559,0.08758630652150808
1759345429974.984,279911,UWB1,UWB1,-1084.6896612666608,2816.885111049803,1726.402903896357,-0.21144073176222145,-0.2232314742032779,-0.5813018216549839,0.7533582932559282
1759345429984.984,279912,LeftRS2,LeftRS2,408.11531509276,3792.7536719846294,1034.569112620794,-0.16590830582120925,0.09566446677184047,-0.6019426849837041,0.775233995546767
1759345429984.984,279912,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429984.984,279912,LeftRS4,LeftRS4,-2610.8843736257927,1845.2668603772115,1874.2857103079275,-0.14011274152583306,-0.5133638350618326,0.8416397846667516,0.09202426516319917
1759345429984.984,279912,UWB1,UWB1,-1084.9164498936152,2816.031749733125,1726.6421803722326,-0.20123274227152738,-0.19586378715741526,-0.5511828751526491,0.7857099964087865
1759345429994.9553,279913,LeftRS2,LeftRS2,408.14483991981785,3792.7416813254495,1034.4844629625202,-0.16769339948459852,0.09448162198110735,-0.6020259507459529,0.7749302558976191
1759345429994.9553,279913,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345429994.9553,279913,LeftRS4,LeftRS4,-2610.5472336283533,1841.995451653175,1874.7731295569931,-0.13182850770675647,-0.5142253838275226,0.8413301121992938,0.10177004220285309
1759345429994.9553,279913,UWB1,UWB1,-1085.1477329664883,2815.188165204449,1726.9987249224441,-0.19201373450685227,-0.19562716334859637,-0.5665661503350701,0.7770865691899534
1759345430003.9844,279914,LeftRS2,LeftRS2,408.243595148733,3792.872146617685,1034.4813322698408,-0.16562922204678793,0.0959828530430186,-0.6025264950043848,0.7748006682648313
1759345430003.9844,279914,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430003.9844,279914,LeftRS4,LeftRS4,-2611.729194902896,1838.2369765051224,1874.5780806232026,-0.13179910968775305,-0.518765558759273,0.8384234314743494,0.10274940041417208
1759345430003.9844,279914,UWB1,UWB1,-1084.7512455522017,2815.8405011285868,1726.8666818221488,-0.19568625950919746,-0.19666443434187242,-0.5739567839675184,0.7704567465094676
1759345430013.953,279915,LeftRS2,LeftRS2,408.1203650999271,3792.866090662484,1034.3967525094463,-0.16793919647254363,0.09441521666146643,-0.6010899053099337,0.775611448397598
1759345430013.953,279915,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430013.953,279915,LeftRS4,LeftRS4,-2613.1756145022746,1834.512892631659,1874.0339460062196,-0.131341942562402,-0.5215348126287013,0.836597766105499,0.10418690458771243
1759345430013.953,279915,UWB1,UWB1,-1084.566235673488,2816.990852583259,1726.171220134574,-0.198519823265524,-0.20446786295059521,-0.5882555653189114,0.7567946634737654
1759345430024.9534,279916,LeftRS2,LeftRS2,408.1827830622872,3792.9855797576247,1034.3789404861623,-0.16803517321955383,0.09432856773967643,-0.6008569725976196,0.7757816705427368
1759345430024.9534,279916,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430024.9534,279916,LeftRS4,LeftRS4,-2621.0951104096284,1840.7376803796162,1860.5488174693364,-0.2099810433621488,-0.17024585846910006,0.9598594800742083,-0.07479363351471258
1759345430024.9534,279916,UWB1,UWB1,-1085.4671956986895,2814.801921322011,1726.334476722119,-0.19769758628914819,-0.21090376566482527,-0.5928219649953488,0.7516630786615071
1759345430034.9543,279917,LeftRS2,LeftRS2,408.1711382260182,3793.115372628639,1034.4250859703645,-0.1663366405023953,0.09495096886183388,-0.6026501789221043,0.7746800613051376
1759345430034.9543,279917,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430034.9543,279917,LeftRS4,LeftRS4,-2622.5773207498764,1837.7484099522303,1859.2184929734374,-0.21377276521688382,-0.1621686006589611,0.9605089430868916,-0.07365541434235401
1759345430034.9543,279917,UWB1,UWB1,-1084.8620887317163,2818.7652288091804,1725.5800695983562,-0.1998268459543846,-0.2169018311317793,-0.6184169534489408,0.7284114901445025
1759345430043.954,279918,LeftRS2,LeftRS2,408.1754590537802,3792.8246002907053,1034.4404642819281,-0.16863594579503227,0.09398666133573115,-0.60111315157325,0.7754942967439882
1759345430043.954,279918,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430043.954,279918,LeftRS4,LeftRS4,-2624.863383124844,1833.2486439964753,1857.5626421693605,-0.19535987012634123,-0.11717371894734148,0.9676964513744708,-0.10802045514403706
1759345430043.954,279918,UWB1,UWB1,-1084.7102761629042,2818.103361607507,1726.0037439362968,-0.19902461075953096,-0.21258582278242596,-0.6100611425223819,0.7369001795685916
1759345430054.9556,279919,LeftRS2,LeftRS2,408.2184719449897,3793.041791954606,1034.5715883123023,-0.16487433865162313,0.09650713399415285,-0.6039450819501194,0.7737914212051515
1759345430054.9556,279919,LeftRS3,LeftRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1759345430054.9556,279919,LeftRS4,LeftRS4,-2626.622738094713,1829.5136241466184,1857.291235898366,-0.2002108220059899,-0.12616786148007242,0.9660248599815929,-0.10389065106531468
