timestamp,frame,subject,segment,x,y,z,qx,qy,qz,qw
1762962306003.9978,91660,Head2,Head2,552.6999235630079,-290.69386805649356,196.88962940210493,-0.017468708563810203,0.05323159630429519,-0.6490249030265142,0.7587014673950705
1762962306007.9983,91661,Head2,Head2,552.6996421912596,-290.7006123688842,196.87362828565628,-0.017495373837379105,0.053350496485467566,-0.6490032668264019,0.7587110095864583
1762962306019.9958,91662,Head2,Head2,552.7249425207614,-290.70027254460774,196.8831636921997,-0.01748390751699789,0.05331914064591924,-0.6489643621881817,0.7587467553989306
1762962306027.9954,91663,Head2,Head2,552.7332682227034,-290.71590818161854,196.90733699121822,-0.017537607476029483,0.05325293476355682,-0.6489873472661586,0.7587305057472775
1762962306037.995,91664,Head2,Head2,552.7306273040113,-290.73108635438314,196.9315133990713,-0.017530823543484023,0.05332641927781296,-0.6489489235715512,0.7587583659032823
1762962306046.9937,91665,Head2,Head2,552.718585930053,-290.7350667412511,196.94249073595415,-0.017525451631836473,0.05331762175518797,-0.6489811869308337,0.7587315129644459
1762962306056.992,91666,Head2,Head2,552.7138994465615,-290.74439692203737,196.95197214697717,-0.01756645203845874,0.053214646679450646,-0.6489325440784107,0.758779397702312
1762962306066.9912,91667,Head2,Head2,552.6949852764574,-290.71777178314164,196.93331157748565,-0.017616612958433597,0.05326467560230401,-0.6489849895494844,0.758729868016483
1762962306076.991,91668,Head2,Head2,552.6900404019837,-290.70347334083874,196.91050163311354,-0.01755729056935307,0.05326100721643162,-0.6489012687975847,0.7588031035855345
1762962306086.9902,91669,Head2,Head2,552.6957597116118,-290.68928835944985,196.89927270284485,-0.017551360881316376,0.05323680336035531,-0.6489695190356125,0.7587465689292245
1762962306096.9885,91670,Head2,Head2,552.716057536872,-290.6628773209743,196.86962958685365,-0.01741339369241536,0.053212586868362895,-0.6489511638525718,0.7587671456074535
1762962306106.9878,91671,Head2,Head2,552.7239294762707,-290.66481918354975,196.87741751024132,-0.01742205356301187,0.05325185804597855,-0.6490783831464365,0.7586553658917246
1762962306116.987,91672,Head2,Head2,552.7218424402352,-290.6749589794141,196.87148037632758,-0.017436078879152578,0.05323188165887187,-0.6490457112158251,0.7586843972830335
1762962306126.986,91673,Head2,Head2,552.7222216092902,-290.70698763132776,196.88879051020805,-0.01749430933142367,0.0532923707169161,-0.6490022415485558,0.7587159961601819
1762962306136.9846,91674,Head2,Head2,552.7116174682175,-290.711369382121,196.9246683981753,-0.017415479850769026,0.05325889570577404,-0.6489856294915728,0.7587343697257928
1762962306146.9834,91675,Head2,Head2,552.7042038433354,-290.7251708293494,196.93570631498696,-0.01747454133684038,0.053273396378531665,-0.6489644518211595,0.7587501076875212
1762962306156.9832,91676,Head2,Head2,552.7038445935553,-290.7415952261468,196.95235353268268,-0.01768039063156356,0.05329791111987448,-0.6489549245060998,0.7587517660056255
1762962306166.9824,91677,Head2,Head2,552.7122674708074,-290.73646893959955,196.95217060654926,-0.017652016661800794,0.053256269283385636,-0.6489574280719601,0.7587532093111791
