Objects
100
,,Global Angle Headset:Headset,,,,,,Global Angle UWB_anchor:UWB_anchor,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
88,0,0.469488,0.225432,1.895773,1259.270386,1319.780762,1794.884399,-0.043473,-0.039535,0.072049,1265.182129,2218.443848,1257.466553
89,0,0.468239,0.228474,1.893399,1258.959106,1319.382935,1795.151611,-0.044174,-0.042241,0.066748,1265.188721,2218.460938,1257.486938
90,0,0.468127,0.226882,1.893855,1259.015625,1319.544067,1795.082153,-0.045361,-0.042061,0.064206,1265.182007,2218.437256,1257.544067
91,0,0.468596,0.224139,1.894980,1259.171265,1319.983398,1794.839233,-0.043983,-0.041107,0.065158,1265.166748,2218.494629,1257.552368
92,0,0.468576,0.223726,1.894548,1259.091675,1320.127563,1794.776245,-0.044475,-0.043074,0.064983,1265.202515,2218.470459,1257.535522
93,0,0.466879,0.222194,1.895108,1259.227539,1320.239014,1794.636475,-0.044743,-0.040036,0.062949,1265.116333,2218.470947,1257.547729
94,0,0.467455,0.222952,1.893633,1258.934082,1320.357422,1794.694946,-0.045246,-0.041280,0.068915,1265.206299,2218.393799,1257.495605
95,0,0.468700,0.222321,1.893221,1258.844849,1320.606201,1794.658936,-0.045568,-0.041296,0.065292,1265.193848,2218.420166,1257.501709
96,0,0.468101,0.222561,1.892836,1258.799194,1320.683960,1794.635254,-0.045860,-0.042569,0.067165,1265.237061,2218.409668,1257.452393
97,0,0.464661,0.221001,1.893533,1259.081421,1320.745361,1794.398804,-0.044157,-0.040408,0.062419,1265.142822,2218.496826,1257.484985
98,0,0.466657,0.221899,1.892396,1258.830078,1320.963745,1794.530640,-0.044974,-0.042326,0.061292,1265.119385,2218.477539,1257.536499
99,0,0.464904,0.221411,1.893073,1259.051636,1320.981323,1794.500977,-0.047388,-0.043043,0.057934,1265.117188,2218.431641,1257.573853
100,0,0.463828,0.221195,1.893159,1259.157471,1321.071777,1794.454468,-0.047559,-0.040113,0.052467,1265.092407,2218.575195,1257.847046
101,0,0.463487,0.221264,1.893157,1259.212036,1321.199707,1794.442993,-0.038646,0.004506,0.083203,1264.961792,2218.618164,1258.335815
102,0,0.460962,0.224958,1.890827,1259.035034,1320.665771,1794.727661,-0.035782,0.006353,0.089442,1265.056274,2218.783691,1258.245605
103,0,0.460602,0.224952,1.891059,1259.166382,1320.753662,1794.696167,-0.057537,-0.049208,0.011457,1264.826172,2218.505615,1257.844604
104,0,0.460327,0.225214,1.891091,1259.270874,1320.842285,1794.722656,-0.054837,-0.047530,0.020321,1264.866333,2218.552246,1257.819092
105,0,0.463245,0.225906,1.890711,1259.197754,1321.113892,1794.825684,-0.054897,-0.047236,0.022588,1264.911743,2218.580078,1257.874023
106,0,0.466193,0.223441,1.891960,1259.417358,1321.788818,1794.712646,-0.053081,-0.046270,0.028127,1264.944092,2218.593506,1257.878174
107,0,0.464403,0.223520,1.891995,1259.611694,1321.828003,1794.700439,-0.055251,-0.046796,0.022963,1264.887451,2218.569092,1257.894653
108,0,0.466394,0.223412,1.891619,1259.776611,1321.996582,1794.780640,-0.054006,-0.047033,0.027078,1264.929443,2218.565430,1257.865967
109,0,0.467384,0.224536,1.891063,1259.725952,1322.102295,1794.854614,-0.054345,-0.046882,0.021377,1264.864136,2218.591797,1257.901855
110,0,0.466163,0.224805,1.891566,1260.122192,1322.010742,1794.855225,-0.056523,-0.046644,0.017782,1264.819824,2218.581055,1257.916870
111,0,0.466953,0.225074,1.891466,1260.260254,1321.991943,1794.798218,-0.055256,-0.048460,0.026339,1264.935791,2218.525879,1257.858765
112,0,0.466985,0.225636,1.891855,1260.541382,1322.100098,1794.924194,-0.053873,-0.048681,0.028929,1264.989136,2218.553711,1257.838989
113,0,0.465223,0.225186,1.892212,1260.882202,1321.962402,1794.760864,-0.049731,-0.057372,0.051002,1264.990723,2218.422363,1257.575928
114,0,0.462690,0.225481,1.893007,1261.458252,1321.964600,1794.923462,-0.043819,-0.053912,0.074736,1265.209351,2218.470947,1257.508057
115,0,0.464994,0.224976,1.892277,1261.497314,1322.130737,1794.961182,-0.031106,-0.045625,0.133770,1265.636597,2218.489014,1257.401123
116,0,0.465250,0.226063,1.892446,1261.678833,1322.067871,1795.001709,-0.026048,-0.043757,0.153441,1265.787964,2218.482422,1257.390137
117,0,0.465611,0.226370,1.892311,1261.883911,1322.089966,1795.045654,-0.022193,-0.042137,0.172447,1265.963257,2218.520996,1257.337036
118,0,0.464830,0.225996,1.893143,1262.145142,1322.034302,1794.883667,-0.050544,-3.145889,0.292349,1276.170898,2224.592041,1308.814941
119,0,0.465216,0.226213,1.893001,1262.369995,1322.017334,1794.898682,-0.018697,-3.146195,0.285794,1276.332397,2224.652832,1308.759766
120,0,0.465367,0.226347,1.893214,1262.528198,1322.020508,1794.892578,0.011174,-3.182404,0.279412,1274.927246,2224.533203,1308.669434
121,0,0.465989,0.225637,1.893215,1262.749023,1322.022705,1794.888306,0.020103,-3.182230,0.277296,1274.989380,2224.516602,1308.643066
122,0,0.465663,0.226432,1.893603,1262.867676,1321.949341,1794.918457,0.012517,-3.182246,0.280006,1274.953125,2224.515869,1308.651367
123,0,0.465738,0.226261,1.893787,1263.008545,1321.940918,1794.889038,0.017176,-3.181980,0.276959,1275.003784,2224.484131,1308.640869
124,0,0.467525,0.226167,1.893559,1263.036743,1322.068237,1794.899536,0.016263,-3.182869,0.277375,1274.994385,2224.496582,1308.655884
125,0,0.467784,0.226030,1.893969,1263.169922,1322.103271,1794.859741,0.002856,-3.181077,0.279532,1274.989380,2224.484131,1308.678223
126,0,0.466297,0.225338,1.894652,1263.403198,1322.028931,1794.744873,0.011730,-3.181896,0.277856,1274.998169,2224.489502,1308.660400
127,0,0.467628,0.225863,1.894367,1263.351807,1322.108643,1794.812622,0.011891,-3.180852,0.279346,1275.021973,2224.507812,1308.660156
128,0,0.467703,0.225905,1.894260,1263.355835,1322.161133,1794.834229,0.018241,-3.183554,0.279060,1274.946533,2224.514160,1308.605835
129,0,0.467451,0.226140,1.894481,1263.398438,1322.226318,1794.885742,0.015513,-3.182485,0.277797,1274.986938,2224.512939,1308.641357
130,0,0.467286,0.226160,1.894379,1263.396606,1322.236694,1794.892212,0.016972,-3.182451,0.276199,1275.006958,2224.516602,1308.669922
131,0,0.466830,0.225943,1.894377,1263.422119,1322.314819,1794.905396,0.010320,-3.182327,0.276580,1274.953979,2224.484375,1308.674805
132,0,0.466688,0.225507,1.894538,1263.429077,1322.384277,1794.870361,0.005685,-3.182060,0.280190,1274.936157,2224.535156,1308.709961
133,0,0.466485,0.225466,1.894362,1263.391479,1322.395996,1794.842773,0.010657,-3.181180,0.278795,1274.989624,2224.511963,1308.672607
134,0,0.466456,0.225323,1.894293,1263.351807,1322.414429,1794.807495,0.016744,-3.181927,0.279785,1275.006226,2224.509521,1308.617188
135,0,0.466169,0.225021,1.894334,1263.334839,1322.487427,1794.783203,0.005905,-3.181653,0.283147,1274.978271,2224.553467,1308.647949
136,0,0.465888,0.225177,1.894060,1263.271973,1322.535034,1794.781738,0.014539,-3.183320,0.279016,1274.962402,2224.490967,1308.586060
137,0,0.465662,0.224972,1.894095,1263.212402,1322.614624,1794.779419,0.018420,-3.184142,0.276262,1274.961426,2224.474365,1308.596069
138,0,0.465471,0.225167,1.893892,1263.114990,1322.711304,1794.818237,0.019488,-3.182240,0.275942,1275.011108,2224.503418,1308.666626
139,0,0.465058,0.225083,1.893809,1263.032959,1322.759277,1794.844971,0.017367,-3.183521,0.276267,1274.942871,2224.505859,1308.701416
140,0,0.463329,0.224240,1.894431,1263.158447,1322.765991,1794.754517,0.012342,-3.181686,0.276409,1274.972534,2224.490234,1308.718018
141,0,0.464832,0.224345,1.894022,1262.953003,1322.941650,1794.791992,0.006262,-3.182565,0.279197,1274.915405,2224.493896,1308.699829
142,0,0.464580,0.224190,1.894538,1262.968384,1323.004883,1794.731812,0.005937,-3.180530,0.279014,1274.991211,2224.503906,1308.692383
143,0,0.464107,0.224198,1.894511,1262.935181,1323.097656,1794.713135,0.013516,-3.182490,0.279869,1274.985718,2224.543701,1308.660889
144,0,0.463766,0.224751,1.894264,1262.892822,1323.150879,1794.773193,0.025808,-3.183568,0.275475,1274.997803,2224.480469,1308.616699
145,0,0.463470,0.224995,1.893984,1262.838135,1323.250366,1794.819214,0.052993,-3.144289,0.266201,1276.653320,2224.635254,1308.606201
146,0,0.463065,0.225173,1.893878,1262.836670,1323.310547,1794.876831,0.084411,-3.142421,0.258085,1276.964600,2224.634033,1308.574219
147,0,0.463252,0.225340,1.893954,1262.898926,1323.382202,1794.948120,0.105391,-3.142562,0.252363,1277.071655,2224.647461,1308.562378
148,0,0.460878,0.225133,1.894079,1263.042969,1323.366211,1794.957642,0.122447,-3.140771,0.248477,1277.196167,2224.680420,1308.540283
149,0,0.462536,0.225831,1.893525,1262.939575,1323.494019,1795.063599,0.097234,-3.181754,0.259181,1275.358398,2224.535889,1308.621704
150,0,0.462486,0.225966,1.893397,1263.034668,1323.481079,1795.075439,0.144179,-3.139153,0.242279,1277.274414,2224.566895,1308.551025
151,0,0.462956,0.225808,1.893077,1263.126587,1323.486084,1795.037354,0.148878,-3.139882,0.244345,1277.341064,2224.727051,1308.473145
152,0,0.463049,0.225935,1.893142,1263.286987,1323.438477,1795.018555,0.113895,-3.170427,0.261623,1275.756348,2224.725342,1308.472290
153,0,0.464098,0.225719,1.892786,1263.453979,1323.381836,1794.926758,0.093055,-3.180266,0.260569,1275.378296,2224.479980,1308.508789
154,0,0.464499,0.226894,1.892935,1263.692871,1323.370117,1795.050293,0.061045,-3.181839,0.266940,1275.197144,2224.417969,1308.530396
155,0,0.467552,0.227794,1.892183,1263.786377,1323.428589,1795.139648,0.039265,-3.182208,0.271369,1275.088257,2224.451660,1308.581177
156,0,0.466544,0.227641,1.892631,1264.154785,1323.307007,1795.133667,0.019502,-3.181328,0.274150,1275.025146,2224.413818,1308.622803
157,0,0.467547,0.227895,1.892389,1264.419922,1323.307007,1795.156860,0.009891,-3.182703,0.278393,1274.939575,2224.465088,1308.641846
158,0,0.468517,0.227807,1.892634,1264.755005,1323.365723,1795.177490,0.002409,-3.179964,0.280311,1275.010010,2224.477295,1308.671387
159,0,0.469397,0.229256,1.891979,1264.970093,1323.263672,1795.271362,-0.005879,-3.180073,0.283436,1275.008423,2224.523193,1308.670898
160,0,0.470522,0.229637,1.891739,1265.230469,1323.247803,1795.256226,-0.027363,-0.030610,0.123490,1265.036377,2218.565186,1257.330688
161,0,0.471727,0.229921,1.891442,1265.435913,1323.285645,1795.283081,-0.023515,-0.028326,0.141985,1265.200439,2218.600586,1257.288330
162,0,0.471812,0.230503,1.891862,1265.932251,1323.133423,1795.357910,-0.017006,-0.024947,0.161027,1265.322144,2218.657715,1257.250488
163,0,0.473636,0.229879,1.891381,1265.995850,1323.233643,1795.294800,-0.017350,-0.025408,0.168260,1265.410278,2218.626221,1257.234985
164,0,0.474131,0.230478,1.891482,1266.333130,1323.125488,1795.366699,-0.013655,-0.022849,0.181068,1265.467041,2218.637939,1257.218750
165,0,0.475187,0.231011,1.890658,1266.527466,1323.079590,1795.428345,-0.013914,-0.021937,0.182974,1265.480591,2218.624756,1257.222046
166,0,0.475951,0.231126,1.890261,1266.747070,1323.071655,1795.457397,-0.014063,-0.021648,0.178450,1265.435425,2218.654785,1257.235718
167,0,0.477100,0.231632,1.889368,1266.934814,1323.023926,1795.529175,-0.013631,-0.022899,0.179013,1265.501221,2218.659424,1257.206543
168,0,0.478563,0.232082,1.888356,1267.139404,1322.988037,1795.557373,-0.013576,-0.020546,0.179616,1265.475098,2218.665283,1257.238525
169,0,0.488987,0.233645,1.885060,1266.574097,1323.585693,1795.880615,-0.014617,-0.021797,0.179146,1265.511963,2218.643799,1257.221924
170,0,0.492154,0.234659,1.882496,1266.392944,1323.690796,1796.075928,-0.013518,-0.019628,0.177812,1265.452271,2218.656494,1257.220215
171,0,0.489621,0.235898,1.882279,1266.846680,1323.286255,1796.086060,-0.015158,-0.011526,0.164471,1265.384644,2218.705078,1257.485107
172,0,0.491614,0.235473,1.881657,1267.084106,1323.474365,1796.169678,-0.059975,-0.035305,-0.038354,1263.876709,2218.674072,1257.826904
173,0,0.491728,0.235445,1.880888,1267.386963,1323.433228,1796.170044,-0.058588,-0.038595,-0.004694,1264.072998,2218.491455,1257.617432
174,0,0.493237,0.236249,1.879673,1267.459351,1323.444824,1796.277344,-0.051224,-0.028231,0.014200,1264.296997,2218.631348,1257.789307
175,0,0.494933,0.237739,1.877975,1267.386841,1323.421753,1796.376221,-0.048584,-0.025432,0.027034,1264.366943,2218.634277,1257.765015
176,0,0.498855,0.238755,1.876018,1267.265747,1323.642334,1796.603027,-0.044953,-0.032312,0.053092,1264.517944,2218.485107,1257.456055
177,0,0.499520,0.239698,1.875092,1267.424683,1323.652954,1796.721191,-0.039650,-0.030809,0.074116,1264.687378,2218.439941,1257.418579
178,0,0.500323,0.241057,1.874067,1267.589722,1323.660645,1796.908936,-0.034993,-0.028209,0.093738,1264.868164,2218.488770,1257.380981
179,0,0.505211,0.241118,1.872772,1267.594116,1323.974609,1797.084351,-0.030720,-0.025546,0.112431,1265.018188,2218.515381,1257.339722
180,0,0.501484,0.241600,1.873210,1268.179565,1323.699951,1797.078369,-0.025144,-0.021964,0.132072,1265.138428,2218.551514,1257.318481
181,0,0.502820,0.242456,1.872059,1268.339478,1323.729980,1797.239624,-0.021087,-0.020436,0.151546,1265.328613,2218.567383,1257.281494
182,0,0.504691,0.243518,1.870797,1268.439331,1323.786743,1797.387451,-0.017165,-0.018322,0.164257,1265.414795,2218.612305,1257.257080
183,0,0.511227,0.248696,1.866610,1268.035034,1323.512939,1797.960449,-0.014453,-0.019518,0.173991,1265.537109,2218.601807,1257.171997
184,0,0.510221,0.246319,1.869305,1268.819946,1323.685425,1797.681885,-0.015057,-0.019431,0.180110,1265.600586,2218.536133,1257.145020
185,0,0.510249,0.250978,1.866858,1268.871338,1323.073242,1798.125000,-0.013667,-0.017729,0.178553,1265.528687,2218.595703,1257.129761
186,0,0.511496,0.252586,1.865961,1269.266113,1322.819702,1798.244873,-0.012737,-0.017249,0.182917,1265.593262,2218.609375,1257.135498
187,0,0.514732,0.248828,1.869343,1269.939209,1323.418213,1797.929321,-0.012871,-0.017714,0.179019,1265.575317,2218.655029,1257.164917
188,0,0.516203,0.253669,1.865684,1269.756714,1322.731812,1798.356445,-0.012784,-0.017300,0.178197,1265.581055,2218.655273,1257.187500
189,0,0.518280,0.254541,1.865917,1270.110474,1322.638428,1798.523682,-0.014861,-0.016398,0.175266,1265.518799,2218.600098,1257.214844
190,0,0.520579,0.254760,1.865726,1270.464966,1322.521362,1798.592285,-0.014007,-0.016428,0.181925,1265.578125,2218.561279,1257.189819
191,0,0.522758,0.255484,1.865530,1270.784424,1322.378052,1798.631592,-0.014074,-0.017034,0.183342,1265.631470,2218.539551,1257.175537
