#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1762962071761716992,0.25635,-0.514374,0.219976,0.471245,-0.475906,0.53953,-0.510245,-2.62465e-06,-0.000307126,0.000104902,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071771717120,0.25635,-0.514377,0.219976,0.471249,-0.475898,0.539529,-0.510249,0.000129679,-0.000205599,2.34818e-05,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071781716992,0.256352,-0.514379,0.219976,0.471265,-0.475895,0.539522,-0.510245,0.000239744,-0.000275921,-6.25632e-05,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071791717120,0.256355,-0.514382,0.219975,0.471278,-0.475899,0.539514,-0.510236,0.000344044,-0.000359503,-7.58418e-05,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071801716992,0.256359,-0.514386,0.219975,0.471269,-0.475887,0.539521,-0.510249,0.00044291,-0.000429926,2.43787e-05,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071811717120,0.256363,-0.514391,0.219976,0.47127,-0.475884,0.539516,-0.510256,0.000360382,-0.000461136,0.000115303,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071821716992,0.256367,-0.514396,0.219978,0.471271,-0.475897,0.539509,-0.510251,0.000241977,-0.000456865,0.000202924,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071831717120,0.256369,-0.514401,0.21998,0.471269,-0.475906,0.539501,-0.510252,0.000106946,-0.000415801,0.000120968,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071841716992,0.256369,-0.514406,0.21998,0.471267,-0.4759,0.539511,-0.510249,-6.19767e-06,-0.000375145,8.85788e-06,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071851717120,0.256369,-0.51441,0.21998,0.471275,-0.4759,0.539502,-0.510252,-0.000109615,-0.000349956,-9.15706e-05,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
1762962071861716992,0.256368,-0.514413,0.219979,0.471267,-0.4759,0.539515,-0.510244,9.1585e-06,-0.000226199,-0.000182885,-0.0049664,-0.00307557,-0.00186682,0.13248,0.120717,-0.128575
