#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1761339766559684352,0.816072,-0.935385,2.15883,0.546378,-0.703799,0.418956,-0.174968,0.0039394,-0.00192249,0.011932,0.0247047,0.105478,0.00609524,2.15355,-0.294918,0.867231
1761339766569684224,0.816111,-0.935404,2.15895,0.546429,-0.703842,0.418866,-0.17485,0.00381835,-0.00183582,0.011337,0.0247047,0.105478,0.00609524,2.15355,-0.294917,0.867231
1761339766579684352,0.81615,-0.935422,2.15906,0.546457,-0.703892,0.418785,-0.174753,0.00369615,-0.00175485,0.0107339,0.0247047,0.105478,0.00609524,2.15355,-0.294916,0.867231
1761339766589684224,0.816187,-0.935439,2.15917,0.546487,-0.703935,0.418713,-0.174664,0.00359162,-0.00167437,0.0101657,0.0247047,0.105478,0.00609524,2.15355,-0.294916,0.867231
1761339766599684352,0.816223,-0.935456,2.15927,0.546515,-0.703978,0.418639,-0.174578,0.00354641,-0.00158842,0.00973384,0.0247047,0.105478,0.00609524,2.15355,-0.294915,0.867231
1761339766609684224,0.81626,-0.935471,2.15937,0.546526,-0.704022,0.418584,-0.1745,0.00348398,-0.00150628,0.00925592,0.0247047,0.105478,0.00609524,2.15355,-0.294914,0.867231
1761339766619684096,0.816295,-0.935486,2.15946,0.54655,-0.704067,0.418515,-0.174405,0.00336321,-0.00143371,0.00863284,0.0247047,0.105478,0.00609524,2.15355,-0.294913,0.867231
1761339766629684224,0.816329,-0.9355,2.15955,0.54658,-0.704097,0.418458,-0.174327,0.00324341,-0.00136582,0.0080082,0.0247047,0.105478,0.00609524,2.15355,-0.294912,0.867231
1761339766639684096,0.816361,-0.935514,2.15963,0.5466,-0.704126,0.418416,-0.17425,0.00309362,-0.00133025,0.00740199,0.0247047,0.105478,0.00609524,2.15355,-0.294911,0.867231
1761339766649684224,0.816392,-0.935527,2.1597,0.546613,-0.704155,0.418374,-0.174194,0.00283948,-0.00139593,0.00685022,0.0247047,0.105478,0.00609524,2.15355,-0.29491,0.867231
1761339766659684096,0.816421,-0.935541,2.15977,0.546636,-0.704167,0.418345,-0.174142,0.00268844,-0.00137397,0.00626363,0.0247047,0.105478,0.00609524,2.15355,-0.294909,0.867231
1761339766669684224,0.816448,-0.935555,2.15983,0.546643,-0.704175,0.418329,-0.174122,0.00251996,-0.00131304,0.00569547,0.0247047,0.105478,0.00609525,2.15355,-0.294908,0.867231
1761339766679684096,0.816472,-0.935568,2.15989,0.546655,-0.70419,0.418307,-0.174082,0.00215723,-0.00122897,0.00522119,0.0247047,0.105478,0.00609525,2.15355,-0.294907,0.867231
1761339766689684224,0.816493,-0.93558,2.15994,0.546659,-0.704218,0.418271,-0.174043,0.00185619,-0.00115362,0.00474287,0.0247048,0.105478,0.00609525,2.15355,-0.294906,0.867232
1761339766699684096,0.816512,-0.935591,2.15998,0.54666,-0.704224,0.418261,-0.174036,0.00175641,-0.00110258,0.00420622,0.0247048,0.105478,0.00609525,2.15355,-0.294905,0.867232
1761339766709684224,0.816529,-0.935602,2.16003,0.546667,-0.704236,0.418241,-0.174013,0.00156027,-0.00114226,0.00373911,0.0247048,0.105478,0.00609525,2.15355,-0.294903,0.867232
1761339766719684096,0.816545,-0.935614,2.16006,0.546679,-0.704245,0.418221,-0.173986,0.00140972,-0.00115904,0.00332945,0.0247048,0.105478,0.00609525,2.15355,-0.294902,0.867232
1761339766729684224,0.816561,-0.935625,2.16009,0.546689,-0.704256,0.418205,-0.173954,0.00153932,-0.000974654,0.0029962,0.0247048,0.105478,0.00609526,2.15355,-0.294901,0.867232
1761339766739684096,0.816577,-0.935634,2.16012,0.546694,-0.70426,0.418201,-0.173931,0.00157449,-0.000885132,0.00273576,0.0247048,0.105478,0.00609526,2.15355,-0.294899,0.867232
1761339766749683968,0.816594,-0.935643,2.16015,0.5467,-0.704262,0.418199,-0.17391,0.00154448,-0.000839113,0.00243856,0.0247048,0.105479,0.00609526,2.15355,-0.294898,0.867232
1761339766759684096,0.816609,-0.935651,2.16017,0.546703,-0.704264,0.418197,-0.173895,0.00140157,-0.000814878,0.00188409,0.0247048,0.105479,0.00609526,2.15355,-0.294897,0.867232
1761339766769683968,0.816623,-0.935659,2.16019,0.546697,-0.704274,0.418193,-0.173882,0.00116844,-0.000884409,0.00140359,0.0247048,0.105479,0.00609527,2.15355,-0.294895,0.867232
1761339766779684096,0.816634,-0.935669,2.1602,0.54669,-0.704277,0.418191,-0.173901,0.00090656,-0.000988625,0.000971945,0.0247049,0.105479,0.00609527,2.15355,-0.294894,0.867232
1761339766789683968,0.816643,-0.935678,2.16021,0.546693,-0.704275,0.418187,-0.173905,0.000907849,-0.000903867,0.000615441,0.0247049,0.105479,0.00609527,2.15355,-0.294892,0.867232
1761339766799684096,0.816653,-0.935687,2.16022,0.546701,-0.704269,0.418186,-0.173909,0.000928917,-0.000768464,0.000339584,0.0247049,0.105479,0.00609527,2.15355,-0.294891,0.867232
1761339766809683968,0.816662,-0.935694,2.16022,0.546707,-0.704273,0.418172,-0.173905,0.000650827,-0.000709826,0.000217214,0.0247049,0.105479,0.00609528,2.15355,-0.294889,0.867232
1761339766819684096,0.816668,-0.9357,2.16022,0.546702,-0.704271,0.418181,-0.173907,0.000578502,-0.000472439,2.89086e-05,0.0247049,0.105479,0.00609528,2.15355,-0.294888,0.867232
1761339766829683968,0.816675,-0.935703,2.16022,0.546691,-0.704269,0.418198,-0.173908,0.000572784,-0.000254863,-0.000115511,0.0247049,0.105479,0.00609528,2.15355,-0.294886,0.867232
1761339766839684096,0.816681,-0.935706,2.16022,0.546689,-0.704265,0.418208,-0.173907,0.000509551,-0.000352727,-3.54974e-05,0.0247049,0.105479,0.00609529,2.15355,-0.294885,0.867232
1761339766849683968,0.816686,-0.93571,2.16022,0.546701,-0.704268,0.418196,-0.173887,0.000495259,-0.000373364,-0.000113711,0.024705,0.105479,0.00609529,2.15355,-0.294883,0.867232
1761339766859684096,0.816691,-0.935714,2.16022,0.546698,-0.704279,0.418183,-0.173885,0.000502415,-0.00036609,-0.000243198,0.024705,0.105479,0.00609529,2.15355,-0.294882,0.867232
1761339766869683968,0.816697,-0.935717,2.16021,0.546709,-0.704284,0.418171,-0.173859,0.000486535,-0.00023954,-0.000193502,0.024705,0.105479,0.0060953,2.15355,-0.29488,0.867232
1761339766879684096,0.816702,-0.935718,2.16021,0.546703,-0.704282,0.418178,-0.173868,0.000442727,-0.000134287,-9.98941e-05,0.024705,0.105479,0.0060953,2.15355,-0.294879,0.867232
1761339766889683968,0.816706,-0.93572,2.16021,0.546701,-0.704286,0.418175,-0.173864,0.000325685,-0.000262755,-0.000121957,0.024705,0.105479,0.0060953,2.15355,-0.294877,0.867232
1761339766899683840,0.81671,-0.935723,2.16021,0.5467,-0.704279,0.41818,-0.173886,0.000365037,-0.000293789,-4.51632e-05,0.024705,0.105479,0.00609531,2.15355,-0.294876,0.867232
1761339766909683968,0.816714,-0.935725,2.16021,0.546706,-0.704274,0.418185,-0.173875,0.000407895,-0.000260112,4.09941e-06,0.0247051,0.105479,0.00609531,2.15355,-0.294874,0.867232
1761339766919683840,0.816718,-0.935727,2.16021,0.546701,-0.704279,0.418184,-0.173873,0.000241041,-0.000123907,-0.000195259,0.0247051,0.105479,0.00609532,2.15355,-0.294873,0.867232
1761339766929683968,0.81672,-0.935728,2.1602,0.546704,-0.704274,0.418185,-0.173882,0.000130071,1.99175e-05,-0.000258022,0.0247051,0.10548,0.00609532,2.15355,-0.294871,0.867232
1761339766939683840,0.816721,-0.935726,2.1602,0.546706,-0.704269,0.41819,-0.173881,4.03343e-05,0.000162808,-0.000262651,0.0247051,0.10548,0.00609532,2.15355,-0.29487,0.867232
1761339766949683968,0.816721,-0.935725,2.1602,0.546692,-0.704269,0.418204,-0.173892,-6.52227e-05,9.84729e-05,-0.000250975,0.0247051,0.10548,0.00609533,2.15355,-0.294868,0.867231
1761339766959683840,0.816721,-0.935724,2.16019,0.546692,-0.704277,0.418198,-0.173875,-0.000129082,-1.86228e-05,-0.000206867,0.0247052,0.10548,0.00609533,2.15355,-0.294867,0.867231
1761339766969683968,0.81672,-0.935724,2.16019,0.546697,-0.704284,0.418186,-0.173859,-2.15629e-05,-3.09295e-05,-6.57827e-05,0.0247052,0.10548,0.00609534,2.15355,-0.294865,0.867231
1761339766979683840,0.816721,-0.935724,2.16019,0.546702,-0.704278,0.418186,-0.173866,0.000185403,4.48634e-05,3.43113e-05,0.0247052,0.10548,0.00609534,2.15355,-0.294864,0.867231
1761339766989683968,0.816725,-0.935723,2.16019,0.546697,-0.704276,0.418193,-0.173874,0.000370064,0.000123532,5.07041e-05,0.0247052,0.10548,0.00609535,2.15355,-0.294862,0.867231
1761339766999683840,0.816728,-0.935721,2.16019,0.546694,-0.704281,0.41819,-0.17387,0.000324083,8.41456e-05,-0.000176072,0.0247052,0.10548,0.00609535,2.15355,-0.294861,0.867231
1761339767009683968,0.816732,-0.93572,2.16019,0.546696,-0.704276,0.418194,-0.173879,0.000334086,5.15666e-05,-0.000277668,0.0247053,0.10548,0.00609536,2.15355,-0.29486,0.86723
1761339767019683840,0.816736,-0.93572,2.16018,0.546702,-0.704271,0.41819,-0.173888,0.000364021,1.94261e-05,-0.000335586,0.0247053,0.10548,0.00609536,2.15354,-0.294858,0.86723
1761339767029683712,0.81674,-0.935719,2.16018,0.546694,-0.704273,0.418197,-0.173885,0.000311376,9.77602e-05,-0.000374429,0.0247053,0.10548,0.00609537,2.15354,-0.294857,0.86723
1761339767039683840,0.816743,-0.935717,2.16017,0.546679,-0.704267,0.418224,-0.173892,0.000250995,0.000186425,-0.000420757,0.0247053,0.10548,0.00609537,2.15354,-0.294855,0.86723
1761339767049683712,0.816746,-0.935715,2.16017,0.546684,-0.70427,0.418218,-0.173878,0.000282164,0.0001473,-0.000504128,0.0247054,0.10548,0.00609538,2.15354,-0.294854,0.867229
1761339767059683840,0.816749,-0.935714,2.16016,0.546685,-0.704266,0.418219,-0.173891,0.000214143,1.56757e-05,-0.000546479,0.0247054,0.105481,0.00609539,2.15354,-0.294853,0.867229
1761339767069683712,0.816751,-0.935714,2.16016,0.546689,-0.704273,0.418204,-0.173886,9.35454e-05,-0.000119796,-0.000524492,0.0247054,0.105481,0.00609539,2.15354,-0.294851,0.867229
1761339767079683840,0.816751,-0.935715,2.16015,0.546683,-0.704281,0.418201,-0.173882,-5.87384e-05,-0.000121373,-0.00032535,0.0247054,0.105481,0.0060954,2.15354,-0.29485,0.867229
1761339767089683712,0.81675,-0.935716,2.16015,0.546681,-0.704272,0.418206,-0.173908,-0.00021447,-0.00012298,-0.000127574,0.0247055,0.105481,0.0060954,2.15354,-0.294849,0.867228
1761339767099683840,0.816748,-0.935717,2.16015,0.546687,-0.704277,0.418199,-0.173886,-0.000374183,-0.000126021,6.612e-05,0.0247055,0.105481,0.00609541,2.15354,-0.294847,0.867228
1761339767109683712,0.816745,-0.935717,2.16015,0.546689,-0.704285,0.41819,-0.173868,-0.000256717,-6.54862e-05,0.000139389,0.0247055,0.105481,0.00609541,2.15354,-0.294846,0.867228
1761339767119683840,0.816744,-0.935717,2.16015,0.546687,-0.704277,0.418204,-0.173876,-5.43051e-05,-2.89066e-06,0.000172915,0.0247055,0.105481,0.00609542,2.15354,-0.294845,0.867227
1761339767129683712,0.816744,-0.935717,2.16015,0.546691,-0.70427,0.418208,-0.173883,3.72477e-05,-3.96174e-05,0.000251454,0.0247056,0.105481,0.00609543,2.15354,-0.294843,0.867227
1761339767139683840,0.816745,-0.935717,2.16016,0.546694,-0.704272,0.418207,-0.173869,4.66177e-05,3.50372e-05,0.000357273,0.0247056,0.105481,0.00609543,2.15354,-0.294842,0.867226
1761339767149683712,0.816746,-0.935715,2.16016,0.546697,-0.704276,0.418194,-0.173872,3.10766e-05,0.00012253,0.000432392,0.0247056,0.105481,0.00609544,2.15354,-0.294841,0.867226
1761339767159683584,0.816747,-0.935714,2.16016,0.546691,-0.704279,0.418194,-0.173879,4.36398e-05,7.82759e-05,0.000333628,0.0247056,0.105482,0.00609545,2.15354,-0.294839,0.867226
1761339767169683712,0.816747,-0.935713,2.16017,0.54669,-0.704278,0.418189,-0.173897,-2.71524e-05,0.000150247,0.000268405,0.0247057,0.105482,0.00609545,2.15354,-0.294838,0.867225
1761339767179683584,0.816747,-0.93571,2.16017,0.546688,-0.704277,0.418194,-0.173899,-0.000136585,0.000272638,0.000220286,0.0247057,0.105482,0.00609546,2.15354,-0.294837,0.867225
1761339767189683712,0.816746,-0.935707,2.16017,0.546694,-0.704274,0.418195,-0.173886,-0.000167924,0.000282686,0.000145591,0.0247057,0.105482,0.00609547,2.15354,-0.294835,0.867224
1761339767199683584,0.816745,-0.935704,2.16017,0.546693,-0.704265,0.418205,-0.173902,-0.000141594,0.000269228,4.81523e-05,0.0247058,0.105482,0.00609548,2.15354,-0.294834,0.867224
1761339767209683712,0.816745,-0.935701,2.16017,0.546696,-0.704267,0.418204,-0.173886,-1.1339e-05,0.000354873,-9.50186e-05,0.0247058,0.105482,0.00609548,2.15354,-0.294833,0.867223
1761339767219683584,0.816746,-0.935697,2.16017,0.546688,-0.704291,0.418189,-0.173853,7.54671e-05,0.000359459,-6.32036e-05,0.0247058,0.105482,0.00609549,2.15354,-0.294831,0.867223
1761339767229683712,0.816747,-0.935693,2.16017,0.546684,-0.704287,0.418197,-0.173861,7.58582e-05,0.000332931,3.17452e-05,0.0247058,0.105482,0.0060955,2.15354,-0.29483,0.867222
1761339767239683584,0.816747,-0.935689,2.16017,0.54668,-0.704288,0.418198,-0.173869,-0.000193108,0.000325857,6.66307e-05,0.0247059,0.105482,0.00609551,2.15354,-0.294829,0.867222
1761339767249683712,0.816745,-0.935686,2.16017,0.546689,-0.704298,0.418178,-0.173848,-0.000291121,0.000297133,3.47137e-05,0.0247059,0.105483,0.00609551,2.15354,-0.294827,0.867221
1761339767259683584,0.816743,-0.935683,2.16017,0.546692,-0.704297,0.418172,-0.173856,-0.0003144,0.000260347,-2.5789e-05,0.0247059,0.105483,0.00609552,2.15354,-0.294826,0.867221
